date,beta_const,beta_oil,beta_ofz,fair_expanding,deviation_pct
2022-10-26,4.014872370253827,0.5446225160696304,-0.09360628405552822,2631.516840438501,-19.416058167933336
2022-10-27,4.0216269457889435,0.5438129510614232,-0.09362721787790301,2610.6210251238817,-17.083330779607074
2022-10-28,4.027486807515748,0.5431124417849469,-0.09364717195561369,2613.7286955618483,-17.064842893572397
2022-10-31,4.033317196265326,0.5424150174814785,-0.09366660752604128,2582.3822102140107,-16.10033590571994
2022-11-01,4.038781055831393,0.5417640108830043,-0.09368737368554196,2579.4498343689625,-15.70489291830195
2022-11-02,4.044092609957885,0.5411313476616412,-0.0937077470215304,2552.280872865296,-14.827555888879985
2022-11-03,4.049086430546913,0.5405386585259813,-0.09372899353987281,2559.8076280273413,-15.778046115855515
2022-11-07,4.054425446399459,0.5399043464181598,-0.09375104480837802,2545.1952717848417,-13.217660566724499
2022-11-08,4.0588352623432025,0.5393814409312465,-0.0937702441628043,2508.9701357506688,-12.027649570264066
2022-11-09,4.0628273256008125,0.5389103845009358,-0.09378990027476826,2538.38515575687,-14.648098414600252
2022-11-10,4.06773036609842,0.5383293833818757,-0.093811639380507,2562.102054852183,-13.741921567308369
2022-11-11,4.072291372573303,0.5377871167928912,-0.09383008464755749,2566.4028540612917,-13.597352945156816
2022-11-14,4.076791370181526,0.537251744715147,-0.09384792567215765,2540.9990722983225,-11.65797640494156
2022-11-15,4.08060429238343,0.5367996228960952,-0.09386453474327326,2559.2474102934143,-13.128367696771203
2022-11-16,4.084914714836684,0.5362871586244492,-0.09388198446633231,2594.9332328292962,-14.171587468103752
2022-11-17,4.089570619673167,0.5357308506077008,-0.09389810432388003,2600.7818910945557,-14.912895711194219
2022-11-18,4.0944718066102155,0.5351446604637556,-0.09391451782413476,2606.7979767454235,-15.362831347806182
2022-11-21,4.099516089032369,0.5345407577138074,-0.09393082914492447,2597.5776195818385,-16.602684606254982
2022-11-22,4.104989733093802,0.5338861304891537,-0.09394921469859502,2600.566243968725,-15.55531395929285
2022-11-23,4.110066161732554,0.5332786160522696,-0.09396589492653866,2596.4806688956037,-14.811998159770123
2022-11-24,4.114864500449595,0.5327045885418563,-0.09398187689461257,2603.75275775804,-15.086023685914896
2022-11-25,4.119730773649154,0.5321216701304083,-0.09399735992926463,2607.11070837806,-15.800660365295228
2022-11-28,4.1248298338973814,0.5315104611272977,-0.09401319603199497,2593.044784911026,-16.027289128571155
2022-11-29,4.129972241301274,0.5308949601022925,-0.09403011499274021,2580.470996625511,-15.313134584432486
2022-11-30,4.134820807549075,0.530315309652636,-0.09404680963236856,2584.48357020762,-15.862107808821813
2022-12-01,4.13984689784689,0.529714017697679,-0.09406370395684689,2578.278337316639,-15.164706294804574
2022-12-02,4.144621508493633,0.5291432184665105,-0.09408016168074337,2567.0434346934967,-15.060260744659226
2022-12-05,4.149349244489227,0.5285788274525313,-0.09409726156330286,2553.9186812847647,-13.53366040264402
2022-12-06,4.15355562184311,0.5280775602686167,-0.09411335028529955,2553.1423842573327,-13.978945571464862
2022-12-07,4.157902457616042,0.5275595559396989,-0.09412997809188627,2559.7172949016926,-14.331164446649613
2022-12-08,4.162356892673444,0.527028166043914,-0.0941464616551728,2577.5252767739617,-15.250879605959133
2022-12-09,4.167097631593523,0.5264610362557888,-0.09416245762091807,2570.8757260430443,-15.287620559083525
2022-12-12,4.1718352600127515,0.5258946985668868,-0.09417887317161402,2569.826742543543,-15.435544193572104
2022-12-13,4.176611601858971,0.5253237375615848,-0.09419543135960214,2572.580040435729,-15.478625899946119
2022-12-14,4.181379959200367,0.5247533479316484,-0.09421160693707835,2564.6702096779027,-15.786053432918735
2022-12-15,4.186247255402836,0.5241717448031681,-0.0942287267804369,2556.760936566253,-16.816626475203154
2022-12-16,4.191458618241714,0.5235496939457026,-0.0942477085578744,2553.6534448387324,-16.48240271950109
2022-12-19,4.196549819264057,0.5229421998088819,-0.09426645931483789,2546.622838046527,-16.36060243479661
2022-12-20,4.201603616559718,0.5223397934514802,-0.09428566735499011,2535.0008435904233,-16.395688571122868
2022-12-21,4.206676902182792,0.5217361174987113,-0.09430596311082867,2541.4688485317574,-16.735945781018778
2022-12-22,4.211878395412474,0.5211166754792591,-0.09432622041895149,2547.0608126324323,-16.652559315773274
2022-12-23,4.217079947952458,0.520496901894514,-0.09434608103854349,2555.336135820765,-16.87903715579977
2022-12-26,4.222389403558978,0.5198637143258379,-0.0943657220842237,2563.1815566220616,-16.54083205798347
2022-12-27,4.227607483483413,0.5192408933619916,-0.09438443014821411,2537.395254040996,-15.231180614273809
2022-12-28,4.23241403239549,0.5186695081385683,-0.09440387513189026,2555.8983121406136,-16.2810981236612
2022-12-29,4.237612628098178,0.5180500977920112,-0.09442341958117927,2556.6154182301366,-16.01943785951423
2022-12-30,4.242748003514812,0.5174383342851219,-0.09444276793935481,2563.6910574489725,-15.97583516387191
2023-01-03,4.247884499189835,0.5168259407911427,-0.09446157713734889,2592.025158662276,-16.178282732359627
2023-01-04,4.253139752998494,0.5161972965683289,-0.09447863422497486,2600.559026057433,-16.617158915734198
2023-01-05,4.258556945632849,0.5155485776903015,-0.0944954873290418,2610.454979612679,-17.38336738831666
2023-01-06,4.264243187700897,0.5148666933074971,-0.09451222682229768,2582.284171967838,-16.492924233171603
2023-01-09,4.269633443825444,0.5142228877695929,-0.09453060055717069,2568.0705013645143,-15.753870508989154
2023-01-10,4.2747677570025004,0.51361086838734,-0.0945492774788558,2570.2967121158754,-15.98207359405267
2023-01-11,4.279977950128082,0.5129895765075924,-0.09456799423841863,2557.5474553747517,-14.489172218329504
2023-01-12,4.284658468639705,0.5124323859114611,-0.09458572925750172,2562.479973732205,-14.694747962606202
2023-01-13,4.289406936723655,0.5118667009357536,-0.09460330812233275,2568.3769958826506,-14.345129101891574
2023-01-16,4.294037145063843,0.5113146890186276,-0.09462001173039807,2574.2073085124557,-13.569509625637266
2023-01-17,4.29840071658305,0.5107940775265407,-0.09463534601593268,2583.883638812293,-14.979143526378047
