date,source,p_synthetic_raw,imoex,fair_value_A,fair_ext,dev_ext
2024-04-19,polymarket,0.0415,3470.88,3050.8626668025404,3101.773958505008,0.11899836881501624
2024-04-22,polymarket,0.039,3479.17,3049.3410597085303,3100.354499384613,0.12218457621235834
2024-04-23,polymarket,0.0385,3439.42,3042.9324909493307,3095.962972835268,0.11093705905991369
2024-04-24,polymarket,0.038,3428.93,3041.701195364963,3094.8290429189597,0.10795457598715208
2024-04-25,polymarket,0.0365,3439.76,3042.374519729427,3094.9488880107556,0.11141092291539212
2024-04-26,polymarket,0.0365,3449.77,3030.155790768514,3087.017077844364,0.11750920484344807
2024-04-27,polymarket,0.0365,3465.85,3030.145789626338,3086.604562576815,0.1228681645913774
2024-04-29,polymarket,0.036,3478.08,3022.6941112402674,3081.7641246336834,0.12860032738989235
2024-04-30,polymarket,0.0365,3469.83,3023.5692561562164,3082.1311867275012,0.12578919902632157
2024-05-02,polymarket,0.0365,3442.83,3016.730347868756,3077.951610809385,0.1185458497492966
2024-05-03,polymarket,0.032,3441.77,3015.030304558048,3076.9103743428327,0.11857986787642272
2024-05-06,polymarket,0.034,3436.05,3019.675135973465,3079.48534104441,0.11578709409756804
2024-05-07,polymarket,0.0335,3427.61,3016.2288802830826,3077.191768231493,0.1138759811416945
2024-05-08,polymarket,0.032,3432.54,3014.831201220665,3076.213955641512,0.11583265972284429
2024-05-10,polymarket,0.032,3449.78,3019.2928394109545,3078.754328873765,0.12051161979590597
2024-05-13,polymarket,0.0315,3457.11,3002.397279135202,3068.2001990654585,0.12675502760641222
2024-05-14,polymarket,0.0315,3463.93,2976.830393811477,3052.447663489952,0.1348040595197586
2024-05-15,polymarket,0.034,3470.72,2971.513054382667,3049.2718962568656,0.13821270063206992
2024-05-16,polymarket,0.0345,3486.26,2955.357900969169,3039.4047773339494,0.1470206357502719
2024-05-17,polymarket,0.0345,3501.89,2953.569318010573,3038.423684971882,0.15253511790354768
2024-05-20,polymarket,0.031,3468.09,2943.7692482967677,3032.6174917326707,0.14359625289192812
2024-05-21,polymarket,0.031,3428.38,2929.158048745758,3023.8250409773264,0.13378914240749795
2024-05-22,polymarket,0.031,3444.64,2921.0548510428644,3019.076893175674,0.14095802189943218
2024-05-23,polymarket,0.031,3442.79,2899.9890357579434,3006.244526584166,0.1452128958757246
2024-05-24,polymarket,0.031,3396.5,2879.953536269374,2994.0519264301074,0.13441586300400044
2024-05-27,polymarket,0.155,3299.22,2867.518941981112,2983.8781953463,0.10568186233121435
2024-05-28,polymarket,0.155,3302.91,2864.9708918767187,2982.5563026670384,0.10740910307258811
2024-05-29,polymarket,0.155,3318.03,2849.541267826692,2972.980675775252,0.1160617447117347
2024-05-30,polymarket,0.155,3282.18,2852.782990799411,2975.201236776055,0.10317915959076052
2024-05-31,polymarket,0.155,3217.19,2837.039967750848,2965.481214877907,0.08487957497733012
2024-06-03,polymarket,0.155,3141.42,2822.316784180669,2956.598346452033,0.06251158659063583
2024-06-04,polymarket,0.155,3186.93,2848.1818352144564,2973.361946539661,0.0718271294582502
2024-06-05,polymarket,0.155,3212.24,2854.14339054586,2977.5741582939286,0.07881108218662414
2024-06-06,polymarket,0.155,3192.38,2849.6456719279345,2975.18996927636,0.07300039088813759
