date,cnyrub,cnyrub_numtrades,cnyrub_wap
2014-07-07,5.57,1055,5.5721
2014-07-08,5.5212,1083,5.5327
2014-07-09,5.4975,1063,5.4983
2014-07-10,5.4854,1060,5.4779
2014-07-11,5.5059,1108,5.4916
2014-07-14,5.5303,1050,5.5267
2014-07-15,5.5285,1094,5.5317
2014-07-16,5.5439,1090,5.5376
2014-07-17,5.6285,1075,5.6233
2014-07-18,5.654,1074,5.6553
2014-07-21,5.664,1075,5.6572
2014-07-22,5.6233,1084,5.6393
2014-07-23,5.6275,1078,5.6204
2014-07-24,5.647,1092,5.657
2014-07-25,5.6717,1069,5.6649
2014-07-28,5.7352,1069,5.7207
2014-07-29,5.7693,1079,5.7697
2014-07-30,5.7577,1079,5.7738
2014-07-31,5.763,1070,5.7458
2014-08-01,5.796,1078,5.784
2014-08-04,5.7947,1082,5.7828
2014-08-05,5.8109,1071,5.8029
2014-08-06,5.865,1053,5.8676
2014-08-07,5.899,1063,5.8823
2014-08-08,5.9,1083,5.9177
2014-08-11,5.8536,1070,5.8646
2014-08-12,5.8605,1073,5.8611
2014-08-13,5.85,1071,5.8827
2014-08-14,5.831,1063,5.8523
2014-08-15,5.8495,1146,5.8557
2014-08-18,5.8787,536,5.8711
2014-08-19,5.8867,1098,5.8878
2014-08-20,5.91,1099,5.9025
2014-08-21,5.897,1113,5.9036
2014-08-22,5.88,1111,5.8648
2014-08-25,5.8738,1094,5.8723
2014-08-26,5.8768,1092,5.874
2014-08-27,5.8636,1085,5.8738
2014-08-28,5.9783,1146,5.9215
2014-08-29,6.0131,1112,6.0052
2014-09-01,6.0661,1115,6.0822
2014-09-02,6.0874,1109,6.0794
2014-09-03,5.9731,1201,6.0443
2014-09-04,5.9992,1128,6.0029
2014-09-05,6.0704,1064,6.0087
2014-09-08,6.0597,1100,6.0477
2014-09-09,6.041,1101,6.0411
2014-09-10,6.0904,1108,6.0677
2014-09-11,6.115,1156,6.0965
2014-09-12,6.1753,1116,6.1382
2014-09-15,6.3128,1170,6.1819
2014-09-16,6.2728,1256,6.2796
2014-09-17,6.2341,1193,6.2389
2014-09-18,6.3863,1192,6.2508
2014-09-19,6.271,1106,6.2594
2014-09-22,6.2809,1116,6.2804
2014-09-23,6.28,1105,6.2843
2014-09-24,6.2395,1125,6.244
2014-09-25,6.2678,1141,6.2458
2014-09-26,6.345,1069,6.3147
2014-09-29,6.405,67,6.4035
2014-09-30,6.3866,1012,6.3829
2014-10-01,6.4135,1109,6.4237
2014-10-02,6.43,1102,6.4284
2014-10-03,6.4867,1057,6.459
2014-10-06,6.505,1128,6.4896
2014-10-07,6.4832,1080,6.4813
2014-10-08,6.513,1094,6.5104
2014-10-09,6.529,1133,6.5107
2014-10-10,6.571,1155,6.5651
2014-10-13,6.647,1081,6.5812
2014-10-14,6.645,1121,6.6174
2014-10-15,6.62,1069,6.6804
2014-10-16,6.7954,1128,6.6499
2014-10-17,6.6435,113,6.6926
2014-10-20,6.6963,1164,6.6711
2014-10-21,6.69,1106,6.6945
2014-10-22,6.73,1100,6.6999
2014-10-23,6.83,1130,6.7822
2014-10-24,6.8546,1122,6.8331
2014-10-27,6.9079,1149,6.8583
2014-10-28,6.9394,1121,6.9443
2014-10-29,7.0133,1097,7.0021
2014-10-30,6.8378,1063,7.0228
2014-10-31,7.0231,1055,6.911
2014-11-03,7.08,871,7.089
2014-11-05,7.307,849,7.2572
2014-11-06,7.539,92,7.4011
2014-11-07,7.575,74,7.766
2014-11-10,7.5199,94,7.4702
2014-11-11,7.4999,114,7.5583
2014-11-12,7.6,115,7.5555
2014-11-13,7.5862,83,7.531
2014-11-14,7.83,90,7.7195
2014-11-17,7.7219,92,7.7312
2014-11-18,7.74,103,7.6718
2014-11-19,7.652,119,7.6648
2014-11-20,7.639,111,7.624
2014-11-21,7.44,135,7.466
2014-11-24,7.35,99,7.2935
2014-11-25,7.509,127,7.2995
2014-11-26,7.62,95,7.5413
2014-11-27,7.8688,108,7.7583
2014-11-28,8.0,41,8.0183
2014-12-01,8.4,58,8.3986
2014-12-02,8.84,719,8.5569
2014-12-03,8.707,667,8.8043
2014-12-04,8.7978,834,8.6481
2014-12-05,8.68,818,8.6982
2014-12-08,8.6746,911,8.6722
2014-12-09,8.91,845,8.7563
2014-12-10,8.7803,853,8.7821
2014-12-11,8.9132,848,8.882
2014-12-12,9.23,798,9.2613
2014-12-15,9.77,886,9.5102
2014-12-16,10.75,26,10.0037
2014-12-17,10.9,59,10.8873
2014-12-18,9.6,72,9.8181
2014-12-19,9.44,832,9.6717
2014-12-22,8.8,842,9.0934
2014-12-23,8.82,1177,8.8323
2014-12-24,8.73,695,8.751
2014-12-25,8.84,881,8.4928
2014-12-26,8.719,1242,8.4551
2014-12-29,9.2501,1228,9.0399
2014-12-30,10.9167,1183,9.195
2015-01-05,10.916,6,10.4309
2015-01-06,10.3434,12,10.7766
2015-01-08,10.39,2,10.3907
2015-01-09,10.7899,1,10.7899
2015-01-12,10.2499,1218,10.1244
2015-01-13,10.502,1214,10.4782
2015-01-14,10.4263,1188,10.6667
2015-01-15,10.4,1238,10.5266
2015-01-16,10.49,1207,10.4838
2015-01-19,10.5715,1199,10.4165
2015-01-20,10.52,1185,10.4685
2015-01-21,10.3897,1248,10.5762
2015-01-22,10.3747,1188,10.5311
2015-01-23,10.278,1234,10.204
2015-01-26,10.5367,1235,10.4974
2015-01-27,10.5401,1217,10.8481
2015-01-28,10.8669,1269,10.7691
2015-01-29,11.2,1209,11.0253
2015-01-30,11.22,1244,11.0748
2015-02-02,10.95,1271,11.158
2015-02-03,10.6,1265,10.725
2015-02-04,11.0418,1218,10.5236
2015-02-05,11.028,1243,10.9176
2015-02-06,10.9802,1210,10.571
2015-02-09,10.5049,1243,10.4983
2015-02-10,10.75,1244,10.514
2015-02-11,10.5,1231,10.5932
2015-02-12,10.71,1213,10.5502
2015-02-13,10.2118,1241,10.4111
2015-02-16,9.92,1224,9.9978
2015-02-17,10.0823,1191,9.9928
2015-02-18,10.0,1232,9.9692
2015-02-19,9.9999,1206,9.906
2015-02-20,9.82,1191,9.8527
2015-02-24,10.0,1208,10.0743
2015-02-25,9.92,1245,9.961
2015-02-26,9.71,1225,9.659
2015-02-27,9.83,1244,9.745
2015-03-02,9.88,433,9.911
2015-03-03,9.9262,277,9.9241
2015-03-04,9.86,229,9.8447
2015-03-05,9.68,256,9.8396
2015-03-06,9.5,237,9.5345
2015-03-10,9.83,289,9.658
2015-03-11,9.8912,282,10.0068
2015-03-12,9.765,272,9.7136
2015-03-13,9.81,277,9.7699
2015-03-16,9.9785,344,9.9036
2015-03-17,9.809,261,9.8632
2015-03-18,9.52,288,9.817
2015-03-19,9.6875,264,9.6635
2015-03-20,9.5563,298,9.6703
2015-03-23,9.5327,244,9.5917
2015-03-24,9.3219,251,9.4416
2015-03-25,9.215,310,9.1725
2015-03-26,9.248,288,9.0916
2015-03-27,9.29,263,9.2727
2015-03-30,9.2968,271,9.367
2015-03-31,9.3731,256,9.3021
2015-04-01,9.27,279,9.4124
2015-04-02,9.1,245,9.1795
2015-04-03,9.1519,254,9.1936
2015-04-06,8.9879,241,9.1092
2015-04-07,8.8887,272,8.9462
2015-04-08,8.6459,291,8.6907
2015-04-09,8.45,338,8.4412
2015-04-10,8.7,308,8.1908
2015-04-13,8.5,325,8.4435
2015-04-14,8.3428,252,8.361
2015-04-15,8.1999,246,8.144
2015-04-16,8.0521,254,8.036
2015-04-17,8.41,282,8.1892
2015-04-20,8.58,264,8.3338
2015-04-21,8.59,272,8.6814
2015-04-22,8.4205,296,8.6445
2015-04-23,8.1808,263,8.321
2015-04-24,8.29,270,8.1475
2015-04-27,8.3309,285,8.2861
2015-04-28,8.25,288,8.4035
2015-04-29,8.2,277,8.3333
2015-04-30,8.32,279,8.2584
2015-05-05,8.134,269,8.3075
2015-05-06,8.118,310,8.0614
2015-05-07,8.0913,300,8.1312
2015-05-08,8.2132,279,8.1886
2015-05-12,8.06,251,8.1747
2015-05-13,7.9335,290,7.9825
2015-05-14,8.0798,285,8.0546
2015-05-15,7.978,288,8.0716
2015-05-18,7.9021,293,7.9316
2015-05-19,7.9862,275,7.944
2015-05-20,8.0205,282,8.0503
2015-05-21,8.0461,289,8.0424
2015-05-22,8.0555,246,8.0498
2015-05-25,8.06,243,8.0373
2015-05-26,8.1993,271,8.1151
2015-05-27,8.346,303,8.2491
2015-05-28,8.517,287,8.4328
2015-05-29,8.4509,275,8.5154
2015-06-01,8.63,283,8.5875
2015-06-02,8.585,312,8.5977
2015-06-03,8.7508,333,8.5762
2015-06-04,9.09,265,8.87
2015-06-05,9.1168,264,9.0373
2015-06-08,9.0361,278,9.043
2015-06-09,8.9564,255,9.0066
2015-06-10,8.6773,268,8.7977
2015-06-11,8.8279,276,8.7961
2015-06-15,8.7981,263,8.8745
2015-06-16,8.67,272,8.7103
2015-06-17,8.685,257,8.7026
2015-06-18,8.605,273,8.6042
2015-06-19,8.7476,251,8.6989
2015-06-22,8.6835,265,8.641
2015-06-23,8.6999,290,8.7626
2015-06-24,8.8095,267,8.7351
2015-06-25,8.8091,276,8.7988
2015-06-26,8.8732,283,8.852
2015-06-29,8.962,260,8.9345
2015-06-30,8.9135,256,8.9846
2015-07-01,8.996,259,8.9344
2015-07-02,8.95,273,8.9751
2015-07-03,8.9891,253,8.9726
2015-07-06,9.15,261,9.0903
2015-07-07,9.09,262,9.2013
2015-07-08,9.264,367,9.1902
2015-07-09,9.2228,267,9.184
2015-07-10,9.0898,247,9.1268
2015-07-13,9.0801,267,9.1205
2015-07-14,9.09,297,9.17
2015-07-15,9.1512,228,9.1227
2015-07-16,9.1155,270,9.1634
2015-07-17,9.1796,249,9.1459
2015-07-20,9.1668,292,9.1566
2015-07-21,9.1716,249,9.1779
2015-07-22,9.215,243,9.1884
2015-07-23,9.3233,246,9.2355
2015-07-24,9.3897,330,9.3434
2015-07-27,9.555,313,9.4612
2015-07-28,9.6469,341,9.6956
2015-07-29,9.4656,336,9.6176
2015-07-30,9.5191,387,9.4922
2015-07-31,9.907,349,9.7091
2015-08-03,10.2061,277,10.0591
2015-08-04,10.1428,299,10.1168
2015-08-05,10.2115,334,10.0938
2015-08-06,10.3075,306,10.3015
2015-08-07,10.2964,288,10.2913
2015-08-10,10.11,273,10.3781
2015-08-11,10.0565,523,9.9605
2015-08-12,9.9644,650,9.9679
2015-08-13,10.0116,500,9.9551
2015-08-14,10.0384,354,10.1035
2015-08-17,10.1916,300,10.2001
2015-08-18,10.2269,491,10.2413
2015-08-19,10.3327,407,10.2425
2015-08-20,10.5445,498,10.4159
2015-08-21,10.7379,450,10.5754
2015-08-24,10.9472,646,10.9647
2015-08-25,10.6309,454,10.7965
2015-08-26,10.65,574,10.7299
2015-08-27,10.248,614,10.4213
2015-08-28,10.1432,605,10.3436
2015-08-31,10.0259,693,10.3817
2015-09-01,10.422,681,10.2119
2015-09-02,10.4,309,10.4554
2015-09-03,10.44,279,10.4163
2015-09-04,10.5645,78,10.497
2015-09-07,10.6589,590,10.6145
2015-09-08,10.52,579,10.6594
2015-09-09,10.597,460,10.4918
2015-09-10,10.61,358,10.6597
2015-09-11,10.5699,523,10.6182
2015-09-14,10.5301,382,10.6193
2015-09-15,10.475,526,10.5015
2015-09-16,10.21,450,10.3114
2015-09-17,10.169,357,10.2293
2015-09-18,10.4221,325,10.2774
2015-09-21,10.336,420,10.3385
2015-09-22,10.3001,357,10.3427
2015-09-23,10.333,380,10.2866
2015-09-24,10.31,443,10.3607
2015-09-25,10.26,345,10.2683
2015-09-28,10.4089,311,10.2691
2015-09-29,10.384,297,10.4165
2015-09-30,10.3369,260,10.3611
2015-10-01,10.3471,285,10.2578
2015-10-02,10.42,274,10.3696
2015-10-05,10.205,300,10.2967
2015-10-06,10.006,343,10.235
2015-10-07,9.8969,346,9.8545
2015-10-08,9.6891,323,9.8067
2015-10-09,9.75,331,9.6887
2015-10-12,9.845,296,9.6642
2015-10-13,9.9181,325,9.8429
2015-10-14,9.8881,286,9.941
2015-10-15,9.685,295,9.7921
2015-10-16,9.622,324,9.6519
2015-10-19,9.7681,336,9.6684
2015-10-20,9.74,476,9.7674
2015-10-21,9.8401,473,9.8535
2015-10-22,9.8001,342,9.848
2015-10-23,9.7501,390,9.6975
2015-10-26,9.85,365,9.7805
2015-10-27,10.17,414,9.9534
2015-10-28,9.9911,450,10.2052
2015-10-29,10.1299,348,10.1065
2015-10-30,10.0515,310,10.1804
2015-11-02,10.04,290,10.0725
2015-11-03,9.84,305,10.054
2015-11-05,9.951,367,9.9612
2015-11-06,10.127,305,10.0119
2015-11-09,10.131,388,10.1242
2015-11-10,10.099,265,10.0934
2015-11-11,10.248,403,10.1118
2015-11-12,10.429,439,10.2515
2015-11-13,10.4488,405,10.4123
2015-11-16,10.25,406,10.3851
2015-11-17,10.125,448,10.2496
2015-11-18,10.1,414,10.1002
2015-11-19,10.1,324,10.1341
2015-11-20,10.065,337,10.1306
2015-11-23,10.22,371,10.1993
2015-11-24,10.187,364,10.2188
2015-11-25,10.216,267,10.2066
2015-11-26,10.251,443,10.2237
2015-11-27,10.2161,365,10.2784
2015-11-30,10.35,450,10.3815
2015-12-01,10.32,344,10.2954
2015-12-02,10.4641,425,10.3854
2015-12-03,10.534,306,10.5305
2015-12-04,10.562,334,10.5114
2015-12-07,10.747,423,10.613
2015-12-08,10.69,432,10.6884
2015-12-09,10.6701,418,10.6644
2015-12-10,10.6188,451,10.6244
2015-12-11,10.7511,400,10.6151
2015-12-14,10.78,740,10.7563
2015-12-15,10.72,436,10.8315
2015-12-16,10.81,420,10.7843
2015-12-17,10.83,419,10.7793
2015-12-18,10.835,496,10.869
2015-12-21,10.8787,362,10.8785
2015-12-22,10.9114,372,10.8858
2015-12-23,10.7,293,10.8486
2015-12-24,10.765,282,10.7622
2015-12-25,10.9,88,10.8796
2015-12-28,11.015,449,10.868
2015-12-29,11.0099,361,11.0481
2015-12-30,11.1921,290,11.1226
2016-01-04,11.0461,214,11.0961
2016-01-05,11.0602,207,11.0557
2016-01-06,11.13,224,11.0383
2016-01-11,11.608,344,11.4369
2016-01-12,11.7409,156,11.6482
2016-01-13,11.6561,285,11.6172
2016-01-14,11.5361,281,11.5642
2016-01-15,11.7481,299,11.6722
2016-01-18,12.047,347,11.9529
2016-01-19,11.96,374,11.8897
2016-01-20,12.3661,405,12.1055
2016-01-21,12.593,351,12.7752
2016-01-22,11.846,406,12.1483
2016-01-25,12.11,360,11.9764
2016-01-26,11.8819,368,12.3071
2016-01-27,11.7859,338,11.9322
2016-01-28,11.5629,409,11.649
2016-01-29,11.435,494,11.3939
2016-02-01,11.665,391,11.5465
2016-02-02,12.01,402,11.7906
2016-02-03,11.59,441,11.8986
2016-02-04,11.615,315,11.5641
2016-02-05,11.83,252,11.6824
2016-02-08,11.99,250,11.7378
2016-02-09,12.171,270,11.97
2016-02-10,11.992,259,12.0796
2016-02-11,12.207,257,12.1743
2016-02-12,12.0281,260,12.1256
2016-02-15,11.9,321,11.9852
2016-02-16,11.942,294,11.8314
2016-02-17,11.53,290,11.805
2016-02-18,11.7259,320,11.5718
2016-02-19,11.788,264,11.6882
2016-02-20,11.7,44,11.5898
2016-02-22,11.49,213,11.6726
2016-02-24,11.6,282,11.7199
2016-02-25,11.555,310,11.6657
2016-02-26,11.547,291,11.463
2016-02-29,11.498,289,11.5973
2016-03-01,11.2309,286,11.297
2016-03-02,11.2009,279,11.2321
2016-03-03,11.1841,305,11.2942
2016-03-04,11.0771,283,11.2325
2016-03-07,10.9961,231,11.065
2016-03-09,10.9141,321,11.1234
2016-03-10,10.996,345,10.8712
2016-03-11,10.82,317,10.8282
2016-03-14,10.772,425,10.8184
2016-03-15,10.94,398,10.8841
2016-03-16,10.6749,311,10.9076
2016-03-17,10.557,369,10.5238
2016-03-18,10.5829,354,10.5718
2016-03-21,10.4555,324,10.5613
2016-03-22,10.3659,330,10.4633
2016-03-23,10.5501,379,10.414
2016-03-24,10.5,646,10.5754
2016-03-25,10.4731,278,10.4282
2016-03-28,10.51,274,10.3999
2016-03-29,10.5089,377,10.552
2016-03-30,10.5201,369,10.4084
2016-03-31,10.3929,280,10.4773
2016-04-01,10.4033,341,10.3942
2016-04-04,10.52,373,10.5946
2016-04-05,10.565,302,10.6249
2016-04-06,10.42,345,10.5709
2016-04-07,10.5009,332,10.4589
2016-04-08,10.3649,373,10.3809
2016-04-11,10.2901,430,10.3595
2016-04-12,10.0999,399,10.2373
2016-04-13,10.2261,432,10.1304
2016-04-14,10.2039,436,10.2256
2016-04-15,10.2445,336,10.2182
2016-04-18,10.19,409,10.451
2016-04-19,10.1861,313,10.1334
2016-04-20,10.09,307,10.1642
2016-04-21,10.3,292,10.071
2016-04-22,10.218,285,10.1968
2016-04-25,10.2199,328,10.2052
2016-04-26,10.03,359,10.2171
2016-04-27,10.027,367,10.0264
2016-04-28,9.999,290,10.0133
2016-04-29,9.979,284,9.9143
2016-05-04,10.2368,316,10.1877
2016-05-05,10.102,282,10.1051
2016-05-06,10.127,404,10.1571
2016-05-10,10.104,398,10.1307
2016-05-11,9.9731,446,10.1327
2016-05-12,9.897,295,9.9177
2016-05-13,9.992,257,9.9528
2016-05-16,9.9325,361,9.9251
2016-05-17,9.915,398,9.8751
2016-05-18,9.98,368,9.9465
2016-05-19,10.161,409,10.1165
2016-05-20,10.18,337,10.1425
2016-05-23,10.181,271,10.2135
2016-05-24,10.099,299,10.1914
2016-05-25,9.97,317,10.036
2016-05-26,10.005,294,9.9412
2016-05-27,10.0356,286,10.0505
2016-05-30,9.9699,267,10.0257
2016-05-31,10.146,43,10.0152
2016-06-01,10.163,94,10.1413
2016-06-02,10.188,109,10.1419
2016-06-03,10.041,101,10.1496
2016-06-06,9.966,114,10.0094
2016-06-07,9.827,163,9.9014
2016-06-08,9.6961,173,9.8208
2016-06-09,9.775,114,9.7276
2016-06-10,9.89,79,9.8156
2016-06-14,9.988,117,10.0115
2016-06-15,9.901,111,9.973
2016-06-16,9.97,122,9.9815
2016-06-17,9.84,100,9.9144
2016-06-20,9.756,149,9.7361
2016-06-21,9.669,112,9.7288
2016-06-22,9.857,91,9.7192
2016-06-23,9.698,104,9.737
2016-06-24,9.839,97,9.877
2016-06-27,9.795,79,9.7559
2016-06-28,9.584,146,9.6767
2016-06-29,9.588,139,9.6292
2016-06-30,9.625,157,9.6273
2016-07-01,9.5736,75,9.5972
2016-07-04,9.563,81,9.5563
2016-07-05,9.635,84,9.6181
2016-07-06,9.584,71,9.649
2016-07-07,9.635,71,9.5702
2016-07-08,9.549,62,9.5834
2016-07-11,9.569,42,9.5821
2016-07-12,9.528,62,9.5403
2016-07-13,9.565,84,9.5459
2016-07-14,9.403,83,9.4736
2016-07-15,9.454,90,9.4535
2016-07-18,9.355,66,9.4076
2016-07-19,9.485,72,9.4064
2016-07-20,9.538,57,9.4822
2016-07-21,9.63,62,9.5702
2016-07-22,9.7,74,9.6715
2016-07-25,9.786,61,9.7028
2016-07-26,9.874,79,9.8636
2016-07-27,9.875,71,9.8811
2016-07-28,9.994,73,9.9599
2016-07-29,9.954,46,10.0473
2016-08-01,10.068,73,9.9531
2016-08-02,10.049,110,10.0359
2016-08-03,9.977,97,10.0548
2016-08-04,9.965,63,9.9992
2016-08-05,9.832,88,9.8222
2016-08-08,9.683,87,9.7432
2016-08-09,9.723,68,9.6961
2016-08-10,9.765,94,9.7466
2016-08-11,9.66,72,9.766
2016-08-12,9.7359,59,9.7175
2016-08-15,9.626,111,9.6589
2016-08-16,9.603,75,9.6321
2016-08-17,9.665,74,9.6439
2016-08-18,9.616,69,9.5918
2016-08-19,9.61,69,9.6107
2016-08-22,9.722,60,9.6502
2016-08-23,9.683,90,9.7252
2016-08-24,9.749,98,9.724
2016-08-25,9.71,73,9.7404
2016-08-26,9.685,58,9.6908
2016-08-29,9.683,98,9.7268
2016-08-30,9.75,63,9.7045
2016-08-31,9.776,77,9.747
2016-09-01,9.8679,147,9.7848
2016-09-02,9.71,78,9.8241
2016-09-05,9.714,101,9.6749
2016-09-06,9.669,95,9.6883
2016-09-07,9.6115,86,9.6558
2016-09-08,9.5466,94,9.5788
2016-09-09,9.6598,34,9.6114
2016-09-12,9.6485,120,9.7325
2016-09-13,9.797,112,9.6985
2016-09-14,9.77,73,9.7545
2016-09-15,9.7502,104,9.7797
2016-09-16,9.7881,66,9.7889
2016-09-19,9.7136,95,9.7309
2016-09-20,9.6871,57,9.7094
2016-09-21,9.5776,83,9.6412
2016-09-22,9.55,350,9.5573
2016-09-23,9.5984,141,9.5432
2016-09-26,9.563,168,9.5779
2016-09-27,9.5833,75,9.5483
2016-09-28,9.4278,117,9.5617
2016-09-29,9.467,214,9.4613
2016-09-30,9.4195,152,9.4925
2016-10-03,9.361,125,9.3589
2016-10-04,9.3825,89,9.3578
2016-10-05,9.3323,97,9.3319
2016-10-06,9.2764,97,9.3121
2016-10-07,9.267,136,9.2834
2016-10-10,9.2288,140,9.2911
2016-10-11,9.3239,203,9.2744
2016-10-12,9.3694,305,9.3169
2016-10-13,9.3631,261,9.4024
2016-10-14,9.3452,156,9.3504
2016-10-17,9.3463,183,9.3398
2016-10-18,9.3221,197,9.3243
2016-10-19,9.2462,306,9.2687
2016-10-20,9.2575,321,9.2539
2016-10-21,9.1943,256,9.2198
2016-10-24,9.1625,543,9.1784
2016-10-25,9.18,188,9.1492
2016-10-26,9.275,429,9.1897
2016-10-27,9.2478,554,9.2707
2016-10-28,9.2913,252,9.2605
2016-10-31,9.3452,300,9.3169
2016-11-01,9.347,262,9.3159
2016-11-02,9.3872,193,9.3667
2016-11-03,9.3955,185,9.3896
2016-11-07,9.3634,145,9.4163
2016-11-08,9.3833,114,9.3856
2016-11-09,9.3456,189,9.3978
2016-11-10,9.5982,241,9.3167
2016-11-11,9.653,203,9.5606
2016-11-14,9.6357,150,9.6381
2016-11-15,9.3841,130,9.5366
2016-11-16,9.3738,139,9.4194
2016-11-17,9.409,224,9.4125
2016-11-18,9.3623,159,9.4261
2016-11-21,9.2531,185,9.3096
2016-11-22,9.241,155,9.2116
2016-11-23,9.2899,162,9.2628
2016-11-24,9.2804,114,9.2933
2016-11-25,9.3569,151,9.2932
2016-11-28,9.37,132,9.3761
2016-11-29,9.414,176,9.3963
2016-11-30,9.279,286,9.4137
2016-12-01,9.27,213,9.2628
2016-12-02,9.3002,176,9.3382
2016-12-05,9.3,186,9.2967
2016-12-06,9.2875,247,9.2829
2016-12-07,9.166,146,9.2401
2016-12-08,9.1551,198,9.1958
2016-12-09,9.027,201,9.1339
2016-12-12,8.811,323,8.8517
2016-12-13,8.7536,275,8.8163
2016-12-14,8.9609,207,8.83
2016-12-15,8.914,448,8.8964
2016-12-16,8.913,300,8.8977
2016-12-19,8.9399,202,8.9014
2016-12-20,8.861,249,8.8783
2016-12-21,8.8299,234,8.8049
2016-12-22,8.788,240,8.7686
2016-12-23,8.795,276,8.7635
2016-12-26,8.778,161,8.7674
2016-12-27,8.722,266,8.749
